Ref,Val,Package,PosX,PosY,Rot,Side
"C18","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",126.967050,-99.544400,-90.000000,top
"C19","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",158.886030,-96.045000,-90.000000,top
"C20","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",120.905350,-92.260000,180.000000,top
"C21","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",123.903850,-87.965000,0.000000,top
"C22","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",184.283970,-97.400000,0.000000,top
"C23","470n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",131.443850,-94.485000,-90.000000,top
"C24","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",197.651300,-78.453900,-90.000000,top
"C25","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",202.875000,-90.500000,-90.000000,top
"C26","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",196.937500,-81.125000,180.000000,top
"C27","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",198.150000,-90.475000,-90.000000,top
"C28","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",205.500000,-73.950000,0.000000,top
"C29","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",191.478000,-77.163900,-90.000000,top
"C30","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",208.480000,-77.040000,-90.000000,top
"C31","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",188.100000,-77.103000,-90.000000,top
"C32","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",185.210000,-73.630000,0.000000,top
"C33","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",177.080000,-78.441500,-90.000000,top
"C34","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",176.275000,-80.940500,180.000000,top
"C35","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",182.500000,-90.525000,-90.000000,top
"C36","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",170.906700,-77.151500,-90.000000,top
"C37","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",177.550000,-90.525000,-90.000000,top
"C38","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",166.560000,-76.763000,-90.000000,top
"C39","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",163.475000,-73.525000,0.000000,top
"C40","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",155.590000,-78.270000,-90.000000,top
"C41","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",154.950000,-80.740500,180.000000,top
"C42","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",160.850000,-90.250000,-90.000000,top
"C43","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",149.450000,-77.270000,-90.000000,top
"C44","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",155.850000,-90.175000,-90.000000,top
"C45","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",145.157500,-76.775500,-90.000000,top
"C46","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",142.200000,-73.675000,0.000000,top
"C47","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",134.137500,-78.114000,-90.000000,top
"C48","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",132.975000,-81.115500,180.000000,top
"C49","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",128.050000,-77.170000,-90.000000,top
"C50","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",139.510000,-90.208000,-90.000000,top
"C51","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",134.500000,-90.180000,-90.000000,top
"C52","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.680000,-105.160000,-90.000000,top
"C53","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",137.461200,-100.034600,180.000000,top
"C54","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",133.670000,-106.420000,-90.000000,top
"C55","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",133.161200,-109.034600,180.000000,top
"C56","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",138.941200,-118.514600,-90.000000,top
"C57","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",127.769900,-105.545400,-90.000000,top
"C58","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",133.951200,-118.582500,-90.000000,top
"C59","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",165.718700,-105.424600,-90.000000,top
"C60","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",158.775000,-99.975000,180.000000,top
"C61","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",154.698700,-106.900000,-90.000000,top
"C62","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",154.586200,-109.334600,180.000000,top
"C63","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",159.931200,-118.854600,-90.000000,top
"C64","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",148.525400,-105.473100,-90.000000,top
"C65","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",155.071200,-118.814600,-90.000000,top
"C66","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",187.541200,-105.372100,-90.000000,top
"C67","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",180.460000,-99.870000,180.000000,top
"C68","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",176.521200,-106.710600,-90.000000,top
"C69","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",175.980000,-109.630000,180.000000,top
